Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TRMT6,656.179093832576,-0.531575969832522,0.168260803139905,-3.15923827720308,0.00158182104850678,0.0027698248973916
MCM8,873.947446695025,1.82236965253219,0.218441033209893,8.34261597170317,0.0000000000000000726648471113906,0.000000000000000412360912675532
RP5-967N21.11,20.9196146232214,1.57240319891222,0.622383085888421,2.52642341118203,0.0115230510327774,0.0179033681704305
CRLS1,1353.88739985444,0.632349953340121,0.309946624071431,2.04018983989446,0.041331421306281,0.0586880293606677
LRRN4,839.794683438976,2.70130734937896,1.01537746646155,2.66039718095442,0.00780485531043652,0.012449559234231
FERMT1,387.390935189474,7.47745122258013,0.84585505745791,8.84010937411959,0.000000000000000000956249450794814,0.0000000000000000061991845290498
RP4-775C13.1,30.4842539490525,1.07553273730647,0.424372021454556,2.5344100999402,0.0112636824736042,0.0175233854004549
BMP2,697.356844353512,3.97228755873757,0.600326872785364,6.61687447091477,0.0000000000366872768152,0.000000000137441839250193
TMX4,1964.97640263322,-3.52066160850775,0.268452005978412,-13.1146779688838,0.00000000000000000000000000000000000000271332319204489,0.000000000000000000000000000000000000054648585916148
PLCB1,570.625263497276,-1.4351876214721,0.286127104092794,-5.01590936665217,0.000000527832082153008,0.00000138380583644174
PLCB4,410.296519840091,6.22017216694511,0.514443643777787,12.0910662269391,0.00000000000000000000000000000000117748591789975,0.0000000000000000000000000000000181687526607718
LAMP5-AS1,26.7953179201756,-1.25419651042653,1.56519835205274,-0.801301962004791,0.422956855299868,0.483155764425051
LAMP5,924.505433773742,-4.06100956462617,0.736496527653319,-5.51395615885069,0.0000000350856032996568,0.000000103165326440235
PAK5,534.7266601653,3.92247895832618,0.878768010415539,4.46361145585099,0.00000805896469708748,0.0000186580268068489
ANKEF1,266.670655060056,1.17560313854772,0.240968048504736,4.8786681298314,0.00000106804598589567,0.00000270875885663543
SNAP25,776.113781251516,1.45654350920357,0.762577036728661,1.91002802215487,0.0561296054143377,0.077990725206972
MKKS,970.731843277943,1.12500895918381,0.159182814245179,7.06740212200945,0.00000000000157861013567742,0.000000000006564910886251
SLX4IP,331.738615406072,0.675372938312716,0.198079375371087,3.40960757296138,0.000650564156907278,0.00120118461307835
RP5-1099D15.1,19.125304388038,-0.262358035197063,0.486939661899684,-0.538789619587636,0.590032026985853,0.644934212005208
JAG1,3764.33029796157,3.39034571873145,0.297732084011105,11.3872367165004,0.00000000000000000000000000000484099201809498,0.0000000000000000000000000000610033701440485
BTBD3,2336.89642382317,3.30788357561061,0.25134061687979,13.1609590868184,0.00000000000000000000000000000000000000147205320815901,0.00000000000000000000000000000000000003001720747623
RP4-742J24.2,9.11287465369511,-1.62664295139662,1.01505857380901,-1.60251141497445,0.109042565355581,0.142893304542283
PA2G4P2,8.17753305676928,1.28072909502868,0.95491369951149,1.34119878653314,0.179855920264577,0.22531156995402
SPTLC3,165.97272132327,-0.554778057668091,0.661287429683457,-0.838936342603171,0.401505032448117,0.461625473167159
ISM1,251.339740125568,-3.48119330074963,0.674936491818121,-5.15780868711382,0.000000249856716170105,0.000000676026066571661
TASP1,210.362954503937,-0.432486890213624,0.218656592592144,-1.97792751220784,0.0479368847314088,0.0673981971985742
ESF1,1106.69991937835,0.769010307430195,0.241064081757235,3.19006590208089,0.00142240353680123,0.002507237733948
NDUFAF5,316.434377179763,0.780591510140649,0.255080132050322,3.060181535372,0.00221202869243129,0.00380590386814843
MACROD2,179.507609145989,-3.70508524474292,0.356572793105466,-10.3908243039929,0.000000000000000000000000272983545515053,0.00000000000000000000000265495498465553
FLRT3,1443.29366141552,3.35713260427394,0.67467660815158,4.9759137395789,0.000000649405639916896,0.00000168327268957416
KIF16B,430.545966088612,0.0271636932763434,0.265860506708075,0.102172728144877,0.918619574236427,0.937628227590364
SNRPB2,1789.1544262583,-0.151160956786497,0.173298080006693,-0.872259847198878,0.38306663716639,0.442858451138163
PCSK2,222.980101833243,4.43337284111683,0.923126748659297,4.80256134659259,0.00000156648803925353,0.00000390367134001327
BFSP1,20.8004725719036,1.50899838916064,0.413145047880348,3.65246635994451,0.00025973363041236,0.00050535645822288
DSTN,4680.98588450801,1.0883924486944,0.300303707648555,3.62430573107722,0.000289738707440769,0.000560207069853493
RRBP1,7526.68676437154,1.50041071496249,0.443045775367621,3.3865816996393,0.00070769201264122,0.0013005786198682
SNX5,2883.69148562111,0.855923623956524,0.210733883008572,4.06163267025127,0.0000487307116918867,0.000103436869752208
OVOL2,112.496744106416,7.86615479032069,1.12413730792505,6.99750353881603,0.00000000000260563483457678,0.0000000000106673338501435
SNORD17,12.5019467560527,1.27048369704437,0.550970399791303,2.30590190965904,0.0211161139116148,0.0314395801664757
MGME1,943.399395128327,1.82578423281221,0.182193538812173,10.0211250339368,0.0000000000000000000000123093688909972,0.000000000000000000000108799296940099
PET117,173.465731705575,0.105501035864572,0.260712957901807,0.404663568368963,0.685724825050226,0.732950957915092
KAT14,758.491431756971,0.721750147573155,0.15149686184356,4.76412606036986,0.00000189673904872517,0.00000468555673420875
ZNF133,500.047969604385,1.2340869434828,0.16363399608535,7.54175154922639,0.0000000000000463700563422141,0.0000000000002146642473596
DZANK1,186.530999684383,1.45358410405164,0.324366240357107,4.48130515201377,0.00000741879463810409,0.0000172490010849275
POLR3F,390.936308739116,0.542447265654914,0.175289508659433,3.09457918961269,0.00197092312594836,0.00340951460389947
RBBP9,628.18124135007,0.171029709386069,0.177941979738472,0.961154358501784,0.336474561288534,0.395037819641729
RPS19P1,34.5897201494986,-0.600540376232026,0.470495554612195,-1.27639968187802,0.201814268644368,0.249837927760578
SEC23B,2278.84960182189,0.0709710601464514,0.124838837948692,0.568501448047924,0.569694522726323,0.625753638390475
LINC00493,725.726803447483,-0.90078676433927,0.261825941022006,-3.44040304342326,0.000580848506819034,0.00107872588738076
DTD1,1510.66399130547,0.932102640252992,0.296751385025997,3.14102203826726,0.00168359363071276,0.00293750075140081
LINC00652,35.3403380952037,2.37849938426591,0.939261808062632,2.53230714146881,0.0113314685711751,0.0176198382795659
RP5-1068E13.7,21.673059199596,-3.58536422866939,0.67310151949742,-5.32663220155326,0.000000100050467353966,0.000000281189054186976
SLC24A3,261.490852918352,2.22959661788349,0.592666515244072,3.76197500708354,0.000168576896702537,0.000335908461925787
RP1-122P22.2,35.4095382226836,-1.08541505666419,0.546745438554856,-1.9852292861064,0.0471189673994745,0.0663445273103874
RPL12P12,27.6222141122067,-0.245218190138964,0.382111979395433,-0.641744314132578,0.521039211311067,0.578754407518116
RIN2,595.936434709585,-3.45561748111173,0.408478541827233,-8.45972830213757,0.0000000000000000268001187288593,0.000000000000000157280013768456
NAA20,808.994068405868,-0.369981531176198,0.186754784075562,-1.98110871969149,0.0475790826430045,0.0669393022606486
CRNKL1,1312.59795041397,-0.498548222867638,0.100383407324557,-4.96644053190728,0.000000681929513192975,0.00000176392765193361
CFAP61,31.4090812193317,0.345297005161913,1.08526982438142,0.318166964016274,0.750358290577454,0.791053732763756
RP11-470C13.4,27.5568286812237,2.28195078460859,1.2028910809919,1.89705520364064,0.0578206526321079,0.080115760903673
INSM1,1272.17589920905,2.50977599790125,0.714456760256332,3.51284519583913,0.000443335696881628,0.000836655246601259
RALGAPA2,1291.88932935272,-0.256876852463316,0.281785465718754,-0.911604336327626,0.361977038857318,0.421173349405405
RPL24P2,114.010586307753,-0.469236675486782,0.389138684543627,-1.20583404869421,0.227881484160845,0.278931963121572
KIZ,492.188763632596,0.214718253801281,0.29965929140226,0.716541285259348,0.47365718446111,0.533098872005588
RPS15AP1,136.631206346765,-1.50361803716686,0.347492073890842,-4.32705707595273,0.000015111481379529,0.0000340140019770131
RP1-198K11.5,70.4982750465587,-0.308587318321007,0.263009594872898,-1.17329300655413,0.240678325792144,0.293013451654276
XRN2,3999.3370718428,0.81238158588022,0.125863637198621,6.45445820541661,0.000000000108606744754115,0.000000000392920394561193
RP5-984P4.6,10.9207525780595,4.2910276897601,1.3436947634064,3.19345420300807,0.00140581634533716,0.00248005137037747
NKX2-2,25.031988002485,0.250280283806173,1.44424895471456,0.173294419212952,0.862420010151893,0.890549741265721
PAX1,16.7709866815514,0,1.61477146155202,0,1,1
RPL41P1,689.580252163019,-2.38980932792428,0.486473860699076,-4.91251333522845,0.000000899162655788439,0.00000229794399522618
LINC00261,396.769042668175,2.09413268749471,1.3113073478452,1.59698082294428,0.110269982009872,0.144324245847821
FOXA2,326.54479769692,2.91222955443725,1.12807460251307,2.58159305062761,0.00983454754427271,0.0154443491503358
THBD,910.213130491867,-6.33940925785065,0.883761503069707,-7.17321272292467,0.000000000000732578863574829,0.00000000000311656903306486
CD93,1132.75094980458,-9.26942412986194,1.02451636554475,-9.04760962498948,0.000000000000000000146132145714276,0.000000000000000000998694641765718
NXT1,689.354135415823,-1.05354289749116,0.235503120577246,-4.47358359799567,0.00000769194655147255,0.0000178451485101065
LINC01431,10.5767171801731,-2.07534395964039,0.661575401008126,-3.13697268138738,0.00170702031755801,0.00297666906275316
GZF1,850.981647774232,-1.11337783451062,0.148015968024452,-7.52201164084331,0.0000000000000539397803925952,0.000000000000248519520083419
NAPB,849.652071615369,-0.594070886153237,0.428708342934962,-1.38572270855798,0.165831591318938,0.209206404559544
CST3,7721.13536654164,-5.04177046743763,0.452652834957655,-11.1382721548828,0.0000000000000000000000000000816887909106396,0.000000000000000000000000000972461701404927
CST4,15.808897054233,4.47412369837732,1.52843307900014,2.92726175574803,0.0034196094334329,0.00573586724000486
CST1,917.195445814521,6.90429238929234,1.21442853758956,5.685219159125,0.0000000130645011680225,0.0000000398157115831511
SYNDIG1,208.7875881602,6.73581351226924,0.903144629480616,7.4581781172113,0.0000000000000877270264274454,0.00000000000039790872842538
CST7,1105.09441513899,-10.9369246017531,0.486002845824213,-22.5038283123737,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000380739139739562,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106752241167241
APMAP,3686.32434165858,-1.12266910027723,0.141866555610812,-7.91355718367545,0.00000000000000250136865648377,0.0000000000000126008663595775
ACSS1,773.057327693104,-6.79042658104996,0.384379825135748,-17.6659286908512,0.000000000000000000000000000000000000000000000000000000000000000000000767393918172087,0.0000000000000000000000000000000000000000000000000000000000000000000543269003399635
VSX1,50.8417865250915,-1.285205433154,1.34949871233336,-0.952357658001619,0.340915625579404,0.399816451939666
ENTPD6,1900.3526384661,-0.633513569225381,0.175290073631308,-3.61408695941258,0.000301407895414868,0.000581503018867852
RP5-965G21.3,29.609474128546,-0.385847884318367,0.658198376090455,-0.586218225894469,0.557728875306363,0.613971411060768
PYGB,4169.86642239039,0.104490508805063,0.204170302244849,0.511781133966064,0.608804195509277,0.662699662960113
RP5-965G21.6,8.64619027720755,-3.55101984640801,1.02315787581058,-3.4706470334256,0.000519205999383373,0.000970335085148246
ABHD12,1787.51013566215,0.688626669713944,0.171090543408915,4.0249253757298,0.0000569933857394027,0.000119995262989915
GINS1,1037.0474409853,6.04973066557832,0.291562634642614,20.7493346086471,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000124299724355384,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000208559277660541
NINL,1677.57248752868,4.56906101413461,0.401450689178615,11.3813754398656,0.00000000000000000000000000000517766110552105,0.0000000000000000000000000000650919058982585
NANP,228.246997599109,1.00359009319005,0.214357412013966,4.6818539361945,0.00000284292025357175,0.00000689033071921753
ZNF337-AS1,35.7852051437792,-0.451524918684087,0.282710566068531,-1.59712785044842,0.11023721123711,0.14429021709162
ZNF337,98.6246245521106,-0.62167834264949,0.382134789190051,-1.62685617807047,0.103767646947108,0.13661938763027
VN1R108P,15.0304846032871,-0.344826126671466,0.987237461290393,-0.349283875655157,0.726876202456247,0.769716493472155
